"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual"
"8075B30AEA6DB1E6","electric_bike",2022-03-17 11:51:26,2022-03-17 11:51:26,"Canal St & Monroe St","13056",NA,NA,"casual"
"DBFA3DEA958796C4","electric_bike",2022-03-31 09:10:22,2022-03-31 09:10:22,"Michigan Ave & Lake St","TA1305000011",NA,NA,"member"
"F3D9AB2C1A5B70C1","electric_bike",2022-03-01 18:58:51,2022-03-01 18:58:51,"Racine Ave & 13th St","13165",NA,NA,"casual"
"FFEE1DBE3244F3CA","electric_bike",2022-03-21 16:44:26,2022-03-21 16:44:26,"Larrabee St & Division St","KA1504000079",NA,NA,"member"
"6B67D8C69B5967E5","electric_bike",2022-03-22 09:18:34,2022-03-22 09:18:34,"Wood St & Chicago Ave","637","Wood St & Chicago Ave","637","casual"
"23F616858633B69F","classic_bike",2022-04-22 03:14:59,2022-04-22 03:14:59,"LaSalle Dr & Huron St","KP1705001026","LaSalle Dr & Huron St","KP1705001026","casual"
"9E2FA394F0915810","electric_bike",2022-04-19 13:12:01,2022-04-19 13:12:01,"Kimbark Ave & 53rd St","TA1309000037",NA,NA,"member"
"062A542A5B97C96C","electric_bike",2022-04-12 21:47:37,2022-04-12 21:47:37,"Elizabeth (May) St & Fulton St","13197","Elizabeth (May) St & Fulton St","13197","casual"
"EFC80382A7259B1B","electric_bike",2022-04-10 13:07:26,2022-04-10 13:07:26,"State St & Van Buren St","TA1305000035","State St & Van Buren St","TA1305000035","casual"
"215D0990183EFDF7","classic_bike",2022-04-13 14:30:40,2022-04-13 14:30:40,"Broadway & Waveland Ave","13325","Broadway & Waveland Ave","13325","member"
"560DDAAC2C996851","classic_bike",2022-04-23 16:46:56,2022-04-23 16:46:56,"Wilton Ave & Belmont Ave","TA1307000134","Wilton Ave & Belmont Ave","TA1307000134","member"
"EA550A6E5FE51C03","electric_bike",2022-04-10 18:38:20,2022-04-10 18:38:20,"Delano Ct & Roosevelt Rd","KA1706005007","Delano Ct & Roosevelt Rd","KA1706005007","member"
"38675987260BAF62","electric_bike",2022-04-22 06:46:02,2022-04-22 06:46:02,"Sedgwick St & North Ave","TA1307000038","Sedgwick St & North Ave","TA1307000038","member"
"35DECED97C12DFB9","electric_bike",2022-04-23 11:33:15,2022-04-23 11:33:15,"Sedgwick St & North Ave","TA1307000038","Sedgwick St & North Ave","TA1307000038","casual"
"B87B17399C224429","classic_bike",2022-04-25 18:35:24,2022-04-25 18:35:24,"Broadway & Ridge Ave","15578","Broadway & Ridge Ave","15578","member"
"DF319A0EC693E720","electric_bike",2022-04-11 16:22:05,2022-04-11 16:22:05,"Fairbanks St & Superior St","18003",NA,NA,"casual"
"6D1B0980CCAAAD2F","electric_bike",2022-04-10 11:17:41,2022-04-10 11:17:41,"Streeter Dr & Grand Ave","13022",NA,NA,"casual"
"A5EDDDDA5F6D5A37","electric_bike",2022-04-09 17:06:05,2022-04-09 17:06:05,"Clinton St & Jackson Blvd","638",NA,NA,"member"
"586A017F24BEF653","electric_bike",2022-04-14 16:48:38,2022-04-14 16:48:38,"Homewood Ave & 115th St","20206",NA,NA,"casual"
"4575BF7F2AFADA0F","electric_bike",2022-04-26 09:38:24,2022-04-26 09:38:24,"Lakefront Trail & Bryn Mawr Ave","15576",NA,NA,"casual"
"455A1D867CCD170C","electric_bike",2022-04-15 15:23:12,2022-04-15 15:23:12,"Lincoln Ave & Fullerton Ave","TA1309000058",NA,NA,"casual"
"436C36091C0C8CD2","electric_bike",2022-04-11 16:06:44,2022-04-11 16:06:44,"Damen Ave & Clybourn Ave","13271",NA,NA,"casual"
"BB2D0E8E7ACADFBC","electric_bike",2022-04-04 06:05:05,2022-04-04 06:05:05,"New St & Illinois St","TA1306000013",NA,NA,"member"
